==========================================
SLURM_JOB_ID = 751690
SLURM_NODELIST = gpu38
==========================================
Job ID: 751690
Node: gpu38
CUDA_VISIBLE_DEVICES: 0
Start Time: Sun Jun  7 20:26:46 KST 2026
Submit Dir: /scratch/r984a02/PHDQ2
Partition: amd_a100nv_8
Requested GPUs: 1
Requested CPU cores per task: 4
Python: /home01/r984a02/.conda/envs/phdq_blt/bin/python
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Torch: 2.5.1+cu121
NumPy: 2.4.6
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Reference BLT import path: /scratch/r984a02/PHDQ2/reference_code/blt
Invalid checkpoint outputs/blt_gec/native/last.ckpt: PytorchStreamReader failed reading zip archive: failed finding central directory
Moved corrupt checkpoint to: outputs/blt_gec/native/last.ckpt.corrupt.20260607202830
Auto-resume enabled: no loadable checkpoint found; starting fresh.
Starting reference BLT-GEC fine-tuning on native dataset...
BLT lr: 1e-5
BLT weight_decay: 0.1
BLT Adam betas: (0.9, 0.95)
BLT scheduler: cosine
BLT warmup_steps: 2000
BLT num_beams: 4
Device: cuda
Backend: reference_blt
Reference BLT code: /scratch/r984a02/PHDQ2/reference_code/blt
BLT repo: facebook/blt-1b
Entropy repo: facebook/blt-entropy
Train: /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_train.txt
Val:   /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_val.txt
Test:  /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_test.txt
epoch=0 step=10 loss=0.1762 elapsed=0.5m
epoch=0 step=20 loss=0.3321 elapsed=0.9m
epoch=0 step=30 loss=0.1644 elapsed=1.2m
epoch=0 step=40 loss=0.1442 elapsed=1.5m
epoch=0 step=50 loss=0.2537 elapsed=1.8m
epoch=0 step=60 loss=0.4305 elapsed=2.2m
epoch=0 step=70 loss=0.1057 elapsed=2.5m
epoch=0 step=80 loss=0.1650 elapsed=2.8m
epoch=0 step=90 loss=0.5486 elapsed=3.1m
epoch=0 step=100 loss=0.3612 elapsed=3.5m
epoch=0 step=110 loss=0.3757 elapsed=3.8m
epoch=0 step=120 loss=0.3002 elapsed=4.1m
epoch=0 step=130 loss=0.4478 elapsed=4.4m
epoch=0 step=140 loss=0.5230 elapsed=4.8m
epoch=0 step=150 loss=0.2963 elapsed=5.1m
epoch=0 step=160 loss=0.4397 elapsed=5.4m
epoch=0 step=170 loss=0.4338 elapsed=5.7m
epoch=0 step=180 loss=0.4322 elapsed=6.1m
epoch=0 step=190 loss=0.6947 elapsed=6.4m
epoch=0 step=200 loss=0.3207 elapsed=6.7m
epoch=0 step=210 loss=0.3793 elapsed=7.1m
epoch=0 step=220 loss=0.1383 elapsed=7.4m
epoch=0 step=230 loss=0.1439 elapsed=7.7m
epoch=0 step=240 loss=0.1064 elapsed=8.1m
epoch=0 step=250 loss=0.1911 elapsed=8.4m
epoch=0 step=260 loss=0.2338 elapsed=8.7m
epoch=0 step=270 loss=0.4799 elapsed=9.0m
epoch=0 step=280 loss=0.0709 elapsed=9.4m
