==========================================
SLURM_JOB_ID = 752408
SLURM_NODELIST = gpu54
==========================================
Job ID: 752408
Node: gpu54
CUDA_VISIBLE_DEVICES: 0,1,2,3
Start Time: Tue Jun  9 02:06:18 KST 2026
Submit Dir: /scratch/r984a02/PHDQ2
Partition: amd_a100nv_8
Requested GPUs: 4
Requested CPU cores per task: 16
Python: /home01/r984a02/.conda/envs/phdq_blt/bin/python
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Torch: 2.5.1+cu121
NumPy: 2.4.6
Visible CUDA device count: 4
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Reference BLT import path: /scratch/r984a02/PHDQ2/reference_code/blt
Starting reference BLT-GEC fine-tuning on native dataset...
BLT lr: 1e-5
BLT weight_decay: 0.1
BLT Adam betas: (0.9, 0.95)
BLT scheduler: cosine
BLT warmup_steps: 2000
BLT num_beams: 4
BLT NUM_GPUS: 4
Device: cuda:0
Distributed: True rank=0 world_size=4
Backend: reference_blt
Reference BLT code: /scratch/r984a02/PHDQ2/reference_code/blt
BLT repo: facebook/blt-1b
Entropy repo: facebook/blt-entropy
Train: /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_train.txt
Val:   /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_val.txt
Test:  /scratch/r984a02/PHDQ2/data/Preprocessed/native/native_test.txt
DDP: world_size=4, grad_accum 8 -> 2, effective_batch_size=8
epoch=0 step=10 loss=0.1630 elapsed=0.2m
epoch=0 step=20 loss=0.1747 elapsed=0.3m
epoch=0 step=30 loss=0.3577 elapsed=0.3m
epoch=0 step=40 loss=0.1779 elapsed=0.4m
epoch=0 step=50 loss=0.3722 elapsed=0.4m
epoch=0 step=60 loss=0.1420 elapsed=0.5m
epoch=0 step=70 loss=0.3045 elapsed=0.6m
epoch=0 step=80 loss=0.3721 elapsed=0.6m
epoch=0 step=90 loss=0.2236 elapsed=0.7m
epoch=0 step=100 loss=0.4254 elapsed=0.7m
epoch=0 step=110 loss=0.2398 elapsed=0.8m
epoch=0 step=120 loss=0.1601 elapsed=0.8m
epoch=0 step=130 loss=0.1114 elapsed=0.9m
epoch=0 step=140 loss=0.3642 elapsed=0.9m
epoch=0 step=150 loss=0.2110 elapsed=1.0m
epoch=0 step=160 loss=0.1278 elapsed=1.0m
epoch=0 step=170 loss=0.2020 elapsed=1.1m
epoch=0 step=180 loss=0.3325 elapsed=1.1m
epoch=0 step=190 loss=0.3676 elapsed=1.2m
epoch=0 step=200 loss=0.2819 elapsed=1.2m
epoch=0 step=210 loss=0.1927 elapsed=1.3m
epoch=0 step=220 loss=0.3757 elapsed=1.3m
epoch=0 step=230 loss=0.3605 elapsed=1.4m
epoch=0 step=240 loss=0.1255 elapsed=1.4m
epoch=0 step=250 loss=0.3180 elapsed=1.5m
epoch=0 step=260 loss=0.3331 elapsed=1.5m
epoch=0 step=270 loss=0.1818 elapsed=1.6m
epoch=0 step=280 loss=0.1977 elapsed=1.6m
epoch=0 step=290 loss=0.1830 elapsed=1.7m
epoch=0 step=300 loss=0.1818 elapsed=1.7m
epoch=0 step=310 loss=0.2917 elapsed=1.8m
epoch=0 step=320 loss=0.2394 elapsed=1.8m
epoch=0 step=330 loss=0.4019 elapsed=1.9m
epoch=0 step=340 loss=0.0824 elapsed=1.9m
epoch=0 step=350 loss=0.1137 elapsed=2.0m
epoch=0 step=360 loss=0.1670 elapsed=2.0m
epoch=0 step=370 loss=0.1875 elapsed=2.1m
epoch=0 step=380 loss=0.0617 elapsed=2.1m
epoch=0 step=390 loss=0.2016 elapsed=2.2m
epoch=0 step=400 loss=0.1023 elapsed=2.2m
epoch=0 step=410 loss=0.1120 elapsed=2.3m
epoch=0 step=420 loss=0.1043 elapsed=2.3m
epoch=0 step=430 loss=0.1806 elapsed=2.4m
epoch=0 step=440 loss=0.1409 elapsed=2.4m
epoch=0 step=450 loss=0.0395 elapsed=2.5m
epoch=0 step=460 loss=0.1065 elapsed=2.5m
epoch=0 step=470 loss=0.1744 elapsed=2.6m
epoch=0 step=480 loss=0.0667 elapsed=2.6m
epoch=0 step=490 loss=0.0583 elapsed=2.7m
epoch=0 step=500 loss=0.0410 elapsed=2.7m
epoch=0 step=510 loss=0.2885 elapsed=2.8m
epoch=0 step=520 loss=0.0363 elapsed=2.8m
epoch=0 step=530 loss=0.0907 elapsed=2.9m
epoch=0 step=540 loss=0.0994 elapsed=2.9m
epoch=0 step=550 loss=0.0734 elapsed=3.0m
epoch=0 step=560 loss=0.2563 elapsed=3.0m
epoch=0 step=570 loss=0.1354 elapsed=3.1m
epoch=0 step=580 loss=0.0294 elapsed=3.1m
epoch=0 step=590 loss=0.0643 elapsed=3.2m
epoch=0 step=600 loss=0.0855 elapsed=3.2m
epoch=0 step=610 loss=0.0629 elapsed=3.3m
epoch=0 step=620 loss=0.0254 elapsed=3.3m
epoch=0 step=630 loss=0.0316 elapsed=3.4m
epoch=0 step=640 loss=0.0337 elapsed=3.4m
epoch=0 step=650 loss=0.1969 elapsed=3.5m
epoch=0 step=660 loss=0.0946 elapsed=3.5m
