==========================================
SLURM_JOB_ID = 752409
SLURM_NODELIST = gpu54
==========================================
Job ID: 752409
Node: gpu54
CUDA_VISIBLE_DEVICES: 0,1,2,3
Start Time: Tue Jun  9 02:45:23 KST 2026
Submit Dir: /scratch/r984a02/PHDQ2
Partition: amd_a100nv_8
Requested GPUs: 4
Requested CPU cores per task: 16
Python: /home01/r984a02/.conda/envs/phdq_blt/bin/python
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Torch: 2.5.1+cu121
NumPy: 2.4.6
Visible CUDA device count: 4
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Reference BLT import path: /scratch/r984a02/PHDQ2/reference_code/blt
Starting reference BLT-GEC fine-tuning on learner dataset...
BLT lr: 1e-5
BLT weight_decay: 0.1
BLT Adam betas: (0.9, 0.95)
BLT scheduler: cosine
BLT warmup_steps: 2000
BLT num_beams: 4
BLT NUM_GPUS: 4
Device: cuda:0
Distributed: True rank=0 world_size=4
Backend: reference_blt
Reference BLT code: /scratch/r984a02/PHDQ2/reference_code/blt
BLT repo: facebook/blt-1b
Entropy repo: facebook/blt-entropy
Train: /scratch/r984a02/PHDQ2/data/Preprocessed/korean_learner/korean_learner_train.txt
Val:   /scratch/r984a02/PHDQ2/data/Preprocessed/korean_learner/korean_learner_val.txt
Test:  /scratch/r984a02/PHDQ2/data/Preprocessed/korean_learner/korean_learner_test.txt
DDP: world_size=4, grad_accum 8 -> 2, effective_batch_size=8
epoch=0 step=10 loss=0.3919 elapsed=0.1m
epoch=0 step=20 loss=0.1547 elapsed=0.1m
epoch=0 step=30 loss=0.4250 elapsed=0.2m
epoch=0 step=40 loss=0.7352 elapsed=0.2m
epoch=0 step=50 loss=0.4509 elapsed=0.3m
epoch=0 step=60 loss=0.4692 elapsed=0.3m
epoch=0 step=70 loss=0.9206 elapsed=0.4m
epoch=0 step=80 loss=0.3703 elapsed=0.4m
epoch=0 step=90 loss=0.2619 elapsed=0.5m
epoch=0 step=100 loss=0.2587 elapsed=0.5m
epoch=0 step=110 loss=0.3374 elapsed=0.6m
epoch=0 step=120 loss=0.6612 elapsed=0.6m
epoch=0 step=130 loss=0.1939 elapsed=0.7m
epoch=0 step=140 loss=0.3589 elapsed=0.8m
epoch=0 step=150 loss=0.3911 elapsed=0.8m
epoch=0 step=160 loss=0.6920 elapsed=0.9m
epoch=0 step=170 loss=0.1623 elapsed=0.9m
epoch=0 step=180 loss=0.2871 elapsed=1.0m
epoch=0 step=190 loss=0.6585 elapsed=1.0m
epoch=0 step=200 loss=0.5525 elapsed=1.1m
epoch=0 step=210 loss=0.2936 elapsed=1.1m
epoch=0 step=220 loss=0.4756 elapsed=1.2m
epoch=0 step=230 loss=0.2637 elapsed=1.2m
epoch=0 step=240 loss=0.2134 elapsed=1.3m
epoch=0 step=250 loss=0.4542 elapsed=1.3m
epoch=0 step=260 loss=0.1193 elapsed=1.4m
epoch=0 step=270 loss=0.1961 elapsed=1.4m
epoch=0 step=280 loss=0.2569 elapsed=1.5m
epoch=0 step=290 loss=0.2199 elapsed=1.5m
epoch=0 step=300 loss=0.4096 elapsed=1.6m
epoch=0 step=310 loss=0.4642 elapsed=1.6m
epoch=0 step=320 loss=0.2803 elapsed=1.7m
epoch=0 step=330 loss=0.4006 elapsed=1.7m
epoch=0 step=340 loss=0.1907 elapsed=1.8m
epoch=0 step=350 loss=0.1633 elapsed=1.9m
epoch=0 step=360 loss=0.2183 elapsed=1.9m
epoch=0 step=370 loss=0.2283 elapsed=2.0m
epoch=0 step=380 loss=0.3704 elapsed=2.0m
epoch=0 step=390 loss=0.1410 elapsed=2.1m
epoch=0 step=400 loss=0.3748 elapsed=2.1m
epoch=0 step=410 loss=0.3607 elapsed=2.2m
epoch=0 step=420 loss=0.1012 elapsed=2.2m
epoch=0 step=430 loss=0.1621 elapsed=2.3m
epoch=0 step=440 loss=0.2124 elapsed=2.3m
epoch=0 step=450 loss=0.3563 elapsed=2.4m
epoch=0 step=460 loss=0.1046 elapsed=2.4m
epoch=0 step=470 loss=0.5298 elapsed=2.5m
epoch=0 step=480 loss=0.2096 elapsed=2.5m
epoch=0 step=490 loss=0.0983 elapsed=2.6m
epoch=0 step=500 loss=0.1310 elapsed=2.6m
epoch=0 step=510 loss=0.1449 elapsed=2.7m
epoch=0 step=520 loss=0.2747 elapsed=2.7m
epoch=0 step=530 loss=0.2568 elapsed=2.8m
epoch=0 step=540 loss=0.2781 elapsed=2.9m
epoch=0 step=550 loss=0.0715 elapsed=2.9m
epoch=0 step=560 loss=0.5760 elapsed=3.0m
epoch=0 step=570 loss=0.2876 elapsed=3.0m
epoch=0 step=580 loss=0.1773 elapsed=3.1m
epoch=0 step=590 loss=0.1037 elapsed=3.1m
epoch=0 step=600 loss=0.0969 elapsed=3.2m
epoch=0 step=610 loss=0.0923 elapsed=3.2m
epoch=0 step=620 loss=0.0388 elapsed=3.3m
epoch=0 step=630 loss=0.1388 elapsed=3.3m
epoch=0 step=640 loss=0.1403 elapsed=3.4m
epoch=0 step=650 loss=0.2033 elapsed=3.4m
