==========================================
SLURM_JOB_ID = 753653
SLURM_NODELIST = gpu41
==========================================
Job ID: 753653
Node: gpu41
CUDA_VISIBLE_DEVICES: 0
Start Time: Tue Jun  9 21:04:00 KST 2026
Submit Dir: /scratch/r984a02/PHDQ2
Partition: amd_a100nv_8
Requested GPUs: 1
Requested CPU cores per task: 4
Python: /home01/r984a02/.conda/envs/phdq_blt/bin/python
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Torch: 2.5.1+cu121
NumPy: 2.4.6
Visible CUDA device count: 1
/home01/r984a02/.conda/envs/phdq_blt/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Reference BLT import path: /scratch/r984a02/PHDQ2/reference_code/blt
Starting reference BLT-GEC fine-tuning on union dataset...
BLT lr: 1e-5
BLT weight_decay: 0.1
BLT Adam betas: (0.9, 0.95)
BLT scheduler: cosine
BLT warmup_steps: 2000
BLT num_beams: 4
BLT NUM_GPUS: 1
Device: cuda
Distributed: False rank=0 world_size=1
Backend: reference_blt
Reference BLT code: /scratch/r984a02/PHDQ2/reference_code/blt
BLT repo: facebook/blt-1b
Entropy repo: facebook/blt-entropy
Train: /scratch/r984a02/PHDQ2/data/Preprocessed/union/union_train.txt
Val:   /scratch/r984a02/PHDQ2/data/Preprocessed/union/union_val.txt
Test:  /scratch/r984a02/PHDQ2/data/Preprocessed/union/union_test.txt
epoch=0 step=10 loss=0.4371 elapsed=0.5m
epoch=0 step=20 loss=0.4254 elapsed=0.8m
epoch=0 step=30 loss=0.6059 elapsed=1.1m
epoch=0 step=40 loss=0.4195 elapsed=1.4m
epoch=0 step=50 loss=0.4724 elapsed=1.7m
epoch=0 step=60 loss=0.5517 elapsed=2.1m
epoch=0 step=70 loss=0.4049 elapsed=2.4m
epoch=0 step=80 loss=0.2935 elapsed=2.7m
epoch=0 step=90 loss=0.2236 elapsed=3.0m
epoch=0 step=100 loss=0.4763 elapsed=3.3m
epoch=0 step=110 loss=0.2692 elapsed=3.7m
epoch=0 step=120 loss=0.3044 elapsed=4.0m
epoch=0 step=130 loss=0.6688 elapsed=4.3m
epoch=0 step=140 loss=0.8068 elapsed=4.6m
epoch=0 step=150 loss=0.5483 elapsed=4.9m
epoch=0 step=160 loss=0.3824 elapsed=5.3m
epoch=0 step=170 loss=0.2558 elapsed=5.6m
epoch=0 step=180 loss=0.4656 elapsed=5.9m
epoch=0 step=190 loss=0.5047 elapsed=6.2m
epoch=0 step=200 loss=0.5739 elapsed=6.5m
epoch=0 step=210 loss=0.3791 elapsed=6.9m
epoch=0 step=220 loss=0.4468 elapsed=7.2m
epoch=0 step=230 loss=0.3754 elapsed=7.5m
epoch=0 step=240 loss=0.5110 elapsed=7.8m
epoch=0 step=250 loss=0.4400 elapsed=8.1m
epoch=0 step=260 loss=0.5145 elapsed=8.5m
epoch=0 step=270 loss=0.3857 elapsed=8.8m
epoch=0 step=280 loss=0.3686 elapsed=9.1m
epoch=0 step=290 loss=0.6035 elapsed=9.4m
epoch=0 step=300 loss=0.3026 elapsed=9.7m
epoch=0 step=310 loss=0.6459 elapsed=10.1m
epoch=0 step=320 loss=0.4529 elapsed=10.4m
epoch=0 step=330 loss=0.3866 elapsed=10.7m
epoch=0 step=340 loss=0.3537 elapsed=11.0m
epoch=0 step=350 loss=0.2418 elapsed=11.3m
epoch=0 step=360 loss=0.1302 elapsed=11.7m
epoch=0 step=370 loss=0.2910 elapsed=12.0m
epoch=0 step=380 loss=0.2896 elapsed=12.3m
epoch=0 step=390 loss=0.4729 elapsed=12.6m
epoch=0 step=400 loss=0.1497 elapsed=12.9m
epoch=0 step=410 loss=0.1930 elapsed=13.3m
epoch=0 step=420 loss=0.1248 elapsed=13.6m
epoch=0 step=430 loss=0.3056 elapsed=13.9m
epoch=0 step=440 loss=0.6471 elapsed=14.2m
epoch=0 step=450 loss=0.1816 elapsed=14.5m
epoch=0 step=460 loss=0.2540 elapsed=14.9m
epoch=0 step=470 loss=0.1601 elapsed=15.2m
epoch=0 step=480 loss=0.1528 elapsed=15.5m
epoch=0 step=490 loss=0.1615 elapsed=15.8m
epoch=0 step=500 loss=0.1538 elapsed=16.1m
epoch=0 step=510 loss=0.0571 elapsed=16.5m
epoch=0 step=520 loss=0.1943 elapsed=16.8m
epoch=0 step=530 loss=0.0531 elapsed=17.1m
epoch=0 step=540 loss=0.2430 elapsed=17.4m
epoch=0 step=550 loss=0.2422 elapsed=17.7m
epoch=0 step=560 loss=0.3787 elapsed=18.1m
epoch=0 step=570 loss=0.1121 elapsed=18.4m
epoch=0 step=580 loss=0.1979 elapsed=18.7m
epoch=0 step=590 loss=0.2673 elapsed=19.0m
epoch=0 step=600 loss=0.0916 elapsed=19.3m
epoch=0 step=610 loss=0.3888 elapsed=19.7m
epoch=0 step=620 loss=0.2751 elapsed=20.0m
Saved checkpoint: outputs/blt_gec/union/last.ckpt
epoch=0 step=630 loss=0.1021 elapsed=20.9m
epoch=0 step=640 loss=0.2270 elapsed=21.3m
epoch=0 step=650 loss=0.1513 elapsed=21.6m
epoch=0 step=660 loss=0.2667 elapsed=21.9m
epoch=0 step=670 loss=0.2907 elapsed=22.2m
